ssignment,Organization Name,Organization Address
A039F7,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul  KR  "
64BC0C,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul Seoul KR 153-801 "
0090CC,PLANEX COMMUNICATIONS INC.,"2F FENISSAY Ebisu Bldg Shibuya-ku, Tokyo JP 150-0011 "
E09DB8,PLANEX COMMUNICATIONS INC.,"Planex Volta Bldg., 2-11-9 Ebisu-Nishi,Shibuya-ku,  Tokyo US 1500021 "
64899A,LG Electronics (Mobile Communications),"60-39, Gasan-dong, Geumcheon-gu Seoul  KR 153-801 "
58A2B5,LG Electronics (Mobile Communications),"60-39, Kasan-dong, Kumchon-gu Seoul  KR 153-801 "
74A722,LG Electronics (Mobile Communications),"603-39 , Kasan-dong, Gumcheon-gu Seoul  KR 153-801 "
001F6B,LG Electronics (Mobile Communications),"60-39,Kasan-dong,Kumchon-ku Seoul  KR 153-801 "
903AE6,PARROT SA,174 Quai de Jemmapes Paris  FR 75010 
00E00F,"Shanghai Baud Data Communication Co.,Ltd.",COMMUNICATION DEVELOPMENT CORP SHANGHAI  CN  
3C404F,"GUANGDONG PISEN ELECTRONICS CO.,LTD","Building C,Liuyue Jintang Industry Zone Shenzhen Guangdong CN 518173 "
F0ACD7,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
00233E,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
6CBEE9,Alcatel-Lucent IPD,701 E. Middlefield Rd. Mountain View CA US 94043 
0080F7,Zenith Electronics Corporation,1000 MILWAUKEE AVENUE GLENVIEW IL US 60025 
00C095,"ZNYX Networks, Inc.",48421 Milmont Drive Fremont CA US 94538 
60EB69,QUANTA COMPUTER INC.,"211, Wen Hwa 2nd Rd.,Kuei Shan,  Tao Yuan  TW 33377 "
C80AA9,QUANTA COMPUTER INC.,"211, Wen Hwa 2nd Rd., Tao Yuan Kuei Shan TW 33377 "
00238B,QUANTA COMPUTER INC.,"NO. 211, WEN HWA 2RD.,KUEI SHAN HSIANG, TAO YUAN SHIEN, TAIPEI TAIWAN TW 333 "
0007BA,UTStarcom Inc,1275 Harbor Bay PKWY Alameda CA US 94502 
4439C4,"Universal Global Scientific Industrial Co., Ltd.","141,Lane351,Taiping Rd.Sec.1   TW 542 "
70F395,"Universal Global Scientific Industrial Co., Ltd.","141, LANE 351,SEC.1, TAIPING RD. TSAOTUEN, NANTOU TW 54261 "
001E37,"Universal Global Scientific Industrial Co., Ltd.","141, LANE 351,SEC.1, TAIPING RD. TSAOTUEN, NANTOU TW 54261 "
002713,"Universal Global Scientific Industrial Co., Ltd.","141, LANE 351,SEC.1, TAIPING RD. TSAOTUEN, NANTOU TW 54261 "
002186,"Universal Global Scientific Industrial Co., Ltd.","141, Lane 351, Sec.1, Taiping Road, NANTOU  TW 54261 "
8CFDF0,Qualcomm Inc.,5775 Morehouse Drive San Diego CA US 92121 
000031,"QPSX COMMUNICATIONS, LTD.",33 RICHARDSON STREET Western  AU 00000 
000E7B,Toshiba,"2-9, Suehiro-Cho Ome Tokyo JP 1988710 "
B86B23,Toshiba,"2-9,Suehiro-Cho Ome Tokyo JP 1988710 "
000C29,"VMware, Inc.",3401 Hillview Avenue Palo Alto CA US 94304 
005056,"VMware, Inc.",3401 Hillview Avenue PALO ALTO CA US 94304 
001C4D,Aplix IP Holdings Corporation,2-20-9 Nishiwaseda Shinjuku-ku Tokyo JP 169-0051 
D0052A,Arcadyan Corporation,"No.8, Sec.2, Guangfu Rd. Hsinchu City Hsinchu TW 30071 "
F485C6,FDT Technologies,14027 Memorial Drive #132 Houston TX US 77024 
BC60A7,Sony Interactive Entertainment Inc.,1-7-1 Konan Minato-ku Tokyo JP 108-0075 
08D833,"Shenzhen RF Technology Co., Ltd","5/F,Building 4 ,Baokun science and Technology Industrial Park,Dalang Street,Baoan District,Shenzhen,China Shenzhen Guangdong CN 518109 "
94D469,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
385610,"CANDY HOUSE, Inc.",119 University Ave. Palo Alto CA US 94301 
20F543,"Hui Zhou Gaoshengda Technology Co.,LTD","No.75,Zhongkai High-Tech Development District,Huizhou Hui Zhou Guangdong CN 516006 "
685388,P&S Technology,216 Deajiro Yongin-si Gyeonggi-do KR 448-813 
54A619,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
1880F5,"Alcatel-Lucent Shanghai Bell Co., Ltd","No. 389, Ningqiao Road, Pudong Jinqiao Shanghai  CN 201206 "
24DBED,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
AC3613,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
1449E0,SAMSUNG ELECTRO-MECHANICS(THAILAND),93Moo5T. Bangsamak Bangpakong Chachoengsao US 24180 
C0BDD1,SAMSUNG ELECTRO-MECHANICS(THAILAND),93Moo5T. Bangsamak Bangpakong Chachoengsao TH 24180 
E8508B,SAMSUNG ELECTRO-MECHANICS(THAILAND),93Moo5T. Bangsamak Bangpakong Chachoengsao TH 24180 
F025B7,SAMSUNG ELECTRO-MECHANICS(THAILAND),93Moo5T. Bangsamak Bangpakong Chachoengsao TH 24180 
C8BA94,SAMSUNG ELECTRO-MECHANICS(THAILAND),93Moo5T. Bangsamak Bangpakong Chachoengsao TH 24180 
EC1F72,SAMSUNG ELECTRO-MECHANICS(THAILAND),93 Moo5T. Bangsamak Bangpakong Chachoengsao TH 24180 
9852B1,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
1489FD,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
CCFE3C,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
789ED0,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
E440E2,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
1CAF05,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
E492FB,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
247F20,Sagemcom Broadband SAS,"250, route de l'Empereur Rueil Malmaison Cedex hauts de seine FR 92848 "
0073E0,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
BC4486,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
380B40,"Samsung Electronics Co.,Ltd","#94-1,Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
8C0D76,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
005A13,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
002490,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
0023D7,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
FCA13E,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
A00798,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
945103,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
C819F7,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
2C4401,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
84E0F4,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
08C6B3,QTECH LLC,Novozavodskaya st. 18 build. 1 Moscow Moscow region RU 121309 
64DAA0,Robert Bosch Smart Home GmbH,Schockenriedstraße 17 Stuttgart  DE 70565 
14B837,"Shenzhen YOUHUA Technology Co., Ltd	","Room 407 Shenzhen University-town Business Park,Lishan Road,Taoyuan Street,Nanshan District Shenzhen Guangdong CN 518055 "
8056F2,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
70188B,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
3C77E6,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
0C84DC,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
844BF5,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
E006E6,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
60F494,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
A41731,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
C0143D,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
642737,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
60D819,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
6474F6,Shooter Detection Systems,300 Newburyport Turnpike Rowley MA US 01969 
604BAA,Private,
CC7314,HONG KONG WHEATEK TECHNOLOGY LIMITED,"Building 20，No.2277, ZuChongZhi Road, PuDong District, Shanghai shanghai  CN 201203 "
C0CB38,"Hon Hai Precision Ind. Co.,Ltd.","Building D21,No.1, East Zone 1st Road Chongqing Chongqing CN 401332 "
98E7F4,Hewlett Packard,11445 Compaq Center Drive Houston TX US 77070 
D42C44,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
D842E2,"Canary Connect, Inc.",132 East 43rd Street New York  US 10017 
500959,Technicolor CH USA Inc.,101 West 103rd St. Indianapolis IN US 46290 
143365,TEM Mobile Limited,"RM1703, North Block, Cangsong Building, Tairan 6 road, Futian District, Shenzhen. Shenzhen Guangdong CN 518000 "
C0F945,"Toshiba Toko Meter Systems Co., LTD.","3484, Sakuragaoka, Kurohama Hasuda-shi Saitama JP 349-0192 "
ACAB2E,"Beijing LasNubes Technology Co., Ltd.","Chao-Yang-Bei-Lu No. 103, Room 1109-1110 Beijing  CN 100025 "
10E878,Nokia,600 March Road Kanata Ontario CA K2K 2E6 
48F7F1,Nokia,600 March Road Kanata Ontario CA K2K 2E6 
4CC94F,Nokia,600 March Road Kanata Ontario CA K2K 2E6 
1CEA1B,Nokia,600 March Road Kanata Ontario CA K2K 2E6 
B4F81E,Kinova,"6110, rue Doris-Lussier, Boisbriand Qc CA J7H 0E8 "
28CA09,"ThyssenKrupp Elevators (Shanghai) Co.,Ltd","No. 2, Xunye Rd, Sheshan Subarea Songjiang Industrial Area Shanghai Shanghai CN 201602 "
E0B94D,SHENZHEN BILIAN ELECTRONIC CO.，LTD,"NO.268， Fuqian Rd, Jutang community, Guanlan Town, Longhua New district shenzhen guangdong CN 518000 "
D8380D,"SHENZHEN IP-COM Network Co.,Ltd","No.1001,Zhongshangyuan Road,Nanshan District Shenzhen Guangdong CN 518000 "
A4C64F,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
C83DD4,CyberTAN Technology Inc.,"99 Park Ave III, Hsinchu Science Park Hsinchu  TW 308 "
487B6B,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
A8E705,"Fiberhome Telecommunication Technologies Co.,LTD",No.5 DongXin Road Wuhan Hubei CN 430074 
9C62AB,"Sumavision Technologies Co.,Ltd","6F, Block A2, Power Creative Building,No.1 Shangdi East Road, Haidian District Beijing  CN 100085 "
487A55,ALE International,32 avenue Kléber Colombes  FR 92700 
000435,InfiNet LLC,Serafimy Deryabinoy str. 24 Yekaterinburg  RU 620149 
BC39D9,Z-TEC,Donyu 1 Ro Paju Kyeongkido KR 10832 
88E87F,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
B853AC,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
B04BBF,PT HAN SUNG ELECTORONICS INDONESIA,"JL.PALEM 1 BLOK DS-6 KAWASAN INDUSTRI BATIK LIPPO CIKARANG, DESA CIBATU, KECAMATAN CIKARANG SELATAN BEKASI JAWA BARAT ID 17550 "
0060D6,NovAtel Inc.,"SUITE 200, 6715-8TH STREET NE CALGARY, ALBERTA T2E 8M4  CA  "
2C3361,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
78B84B,"SICHUAN TIANYI COMHEART TELECOMCO.,LTD","FL12,TowerB,Tianyi international Hotel,No.2 West Section One, Second Ring Road, Chengdu Sichuan CN 610000 "
40F420,"SICHUAN TIANYI COMHEART TELECOMCO.,LTD","FL12,TowerB,Tianyi international Hotel,No.2 West Section One, Second Ring Road, Chengdu Sichuan CN 610000 "
9C6121,"SICHUAN TIANYI COMHEART TELECOMCO.,LTD","FL12,TowerB,Tianyi international Hotel,No.2 West Section One, Second Ring Road, Chengdu Sichuan CN 610000 "
8C8ABB,"Beijing Orient View Technology Co., Ltd.","Building NO.1, LiYe Road 7 Huilongguan Town Changping District, Beijing CN 102206 "
88366C,EFM Networks,"6F, Benposra II 1197-1 Bojeong Giheung Gu Yong In Kyunggi do KR 446913 "
F074E4,"Thundercomm Technology Co., Ltd","Building NO.4, 99# Xiantao Data Valley Zhonglu, Yubei District, Chongqing, China  chongqing  CN 404100 "
A0722C,"HUMAX Co., Ltd.","HUMAX Village, 216, Hwangsaeul-ro, Bu Seongnam-si Gyeonggi-do KR 463-875 "
FCECDA,Ubiquiti Networks Inc.,2580 Orchard Pkwy San Jose CA US 95131 
E07C13,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 "
58E16C,"Ying Hua Information Technology (Shanghai)Co., LTD","Room 37 ,Building 13b, No. 4 , lane 600, Tianshan Road ,Changning District Shanghai  Shanghai  CN 201210 "
24C1BD,"CRRC DALIAN R&D CO.,LTD.","No.1 Haoyang North Street,Lvshun Economic Deveopment Zone Dalian Liaoning CN 116052 "
A81E84,QUANTA COMPUTER INC. ,"No.211, Wen Hwa 2nd Rd., Kuei Shan Hsiang Tao Yuan  TW 33377 "
C82158,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 "
2420C7,Sagemcom Broadband SAS,"250, route de l'Empereur Rueil Malmaison Cedex hauts de seine FR 92848 "
703D15,"Hangzhou H3C Technologies Co., Limited","466 Changhe Road, Binjiang District Hangzhou Zhejiang, P.R.China CN 310052 "
4018B1,Aerohive Networks Inc.,1011 McCarthy Blvd Milpitas CA US 95035 
001977,Aerohive Networks Inc.,1011 McCarthy Blvd Milpitas CA US 95035 
C8665D,Aerohive Networks Inc.,1011 McCarthy Blvd Milpitas CA US 95035 
4865EE,IEEE Registration Authority,445 Hoes Lane Piscataway NJ US 08554 
3CEF8C,"Zhejiang Dahua Technology Co., Ltd.","NO.1199 Bin An Road,Binjiang District,HangZhou,P.R.China HangZhou ZheJiang CN 310053 "
A0CC2B,"Murata Manufacturing Co., Ltd.","1-10-1, Higashikotari Nagaokakyo-shi Kyoto JP 617-8555 "
00234A,Private,
88C626,"Logitech, Inc",4700 NW Camas Meadows Dr Camas WA US 98607 
28E31F,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
0C1DAF,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
14F65A,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
742344,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
F0B429,Xiaomi Communications Co Ltd,"The Rainbow City of China Resources NO.68, Qinghe Middle Street Haidian District, Beijing CN 100085 "
94E979,Liteon Technology Corporation,"4F, 90, Chien 1 Road New Taipei City Taiwan TW 23585 "
AC1F6B,"Super Micro Computer, Inc.",980 Rock Ave San Jose CA US 95131 
80D4A5,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
38BC01,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
04B0E7,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
446A2E,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
0026AB,Seiko Epson Corporation,3-3-5 OWA SUWA-SHI NAGANO-KEN JP 392-8502 
64EB8C,Seiko Epson Corporation,80 Harashinden Shiojiri-shi Nagano-ken JP 399-0785 
A06FAA,LG Innotek,"26, Hanamsandan 5beon-ro Gwangju Gwangsan-gu KR 506-731 "
0015FC,Littelfuse Startco,3714 Kinnear Place Saskatoon SK CA S7P 0A6 
504B5B,CONTROLtronic GmbH,Schragenhofstr. 35 Munich  DE 80992 
A0E0AF,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
603E7B,"Gafachi, Inc.","1 W Main St., STE 650 Rochester NY US 14614 "
98F199,"NEC Platforms, Ltd.",2-3 Kandatsukasamachi Chiyodaku Tokyo JP 101-8532 
78FC14,Family Zone Cyber Safety Ltd ,175 Heytesbury Rd Subiaco WA AU 6008 
1062EB,D-Link International,"1 Internal Business Park, #03-12,The Synergy, Singapore Singapore Singapore SG 609917 "
E0A700,Verkada Inc,"325 Sharon Park Drive, Suite 519 Menlo Park  US 94025 "
901711,Hagenuk Marinekommunikation GmbH,Hamburger Chaussee 25 Flintbek  DE 24220 
D825B0,"Rockeetech Systems Co.,Ltd.","Unit 201, #6 Lane 51, Shuicheng S Rd. Shanghai  CN 201103 "
74614B,"Chongqing Huijiatong Information Technology Co., Ltd.","Yubei District Longxi Street Hongjin Road No. 498, building  Jialeziguang No.1 12-12, 12-13, 12-13, 12-14, 12-15 Chongqing Chongqing City CN 401120 "
C0D9F7,"ShanDong Domor Intelligent S&T CO.,Ltd","Jining high-tech zone base of production,education & research Jining Shandong CN 272000 "
94FB29,Zebra Technologies Inc.,ONE ZEBRA PLAZA HOLTSVILLE NY US 11742 
64DBA0,Select Comfort,9800 59th Ave N Minneapolis MN US 55442 
5800E3,Liteon Technology Corporation,"4F, 90, Chien 1 Road New Taipei City Taiwan TW 23585 "
64777D,Hitron Technologies. Inc,"No. 1-8, Lising 1st Rd. Hsinchu Science Park, Hsinchu, 300, Taiwan, R.O.C Hsin-chu Taiwan TW 300 "
0495E6,"Tenda Technology Co.,Ltd.Dongguan branch","Room 79,Yuanyi Road,Dalang Town,Dongguan Guangdong 523770 Dongguan Guangdong CN 523770 "
0016D3,Wistron Corporation,"21F, 88, Sec.1, Hsin Tai Wu Rd., Hsichih, Taipei Hsien  TW 221 "
001F16,Wistron Corporation,"21F, 88, Sec.1, Hsin Tai Wu Rd., Hsichih, Taipei Hsien  TW 221 "
4C4E03,TCT mobile ltd,"No.86 hechang 7th road, zhongkai, Hi-Tech District Hui Zhou Guang Dong CN 516006 "
50E666,"Shenzhen Techtion Electronics Co., Ltd.","Floor 2, C2 Building, Huafeng Industrial Park, Hangcheng Avenue, Gushu, Xixiang, Baoan Shenzhen Guangdong CN 518102 "
6831FE,"Teladin Co.,Ltd.","Digital-ro 33 gil, Guro-gu Seoul  KR 08377 "
EC43F6,ZyXEL Communications Corporation,"No. 6 Innovation Road II, Science Park Hsichu Taiwan TW 300 "
D4B169,Le Shi Zhi Xin Electronic Technology (Tianjin) Limited,",Le Shi Building, No.105 Yaojiayuan Road,Chaoyang District,Beijing,China beijing beijing CN 100025 "
0C3CCD,"Universal Global Scientific Industrial Co., Ltd.","141, Lane 351, Taiping Road, Sec.1,Tsao Tuen Nan-Tou Taiwan TW 54261 "
B04089,Senient Systems LTD,152 Morrison St Edinburgh Other (Non US) GB EH3 8EB 
002445,Adtran Inc,901 Explorer Blvd. Huntsville AL US 35806-2807 
689FF0,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 "
7CC6C4,Kolff Computer Supplies b.v.,Kuipershaven 22 Dordrecht Zuid-Holland NL 3311 AL 
14B7F8,Technicolor CH USA Inc.,101 West 103rd St. Indianapolis IN US 46290 
F06E32,MICROTEL INNOVATION S.R.L.,Via Armentera 8 BORGO VALSUGANA TN IT 38051 
00E022,"Analog Devices, Inc.",Three Technology Way Norwood  MA US 02062-2666 
7C67A2,Intel Corporate,"Lot 8, Jalan Hi-Tech 2/3 Kulim Kedah MY 09000 "
000302,"Charles Industries, Ltd.",5600 Apollo Drive Rolling Meadows IL US 60008 
0896AD,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
8CF5A3,SAMSUNG ELECTRO-MECHANICS(THAILAND),"93Moo5T. Bangsamak SEMTHAI, WELLGROW INDUSTRIAL ESTATE Bangpakong Chachoengsao TH 24180 "
B8EAAA,"ICG NETWORKS CO.,ltd",Room 2030，Block B，Yamei Park，Haidian District BEIJING  CN 100010 
B8F883,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan Shenzhen Guangdong CN 518057 "
DCFE18,"TP-LINK TECHNOLOGIES CO.,LTD.","Building 24(floors 1,3,4,5)and 28(floors 1-4)Central Science and Technology Park,Shennan Road,Nanshan Shenzhen Guangdong CN 518057 "
AC60B6,Ericsson AB,Torshamnsgatan 36 Stockholm  SE SE-164 80 
3C197D,Ericsson AB,Torshamnsgatan 36 Stockholm  SE SE-164 80 
74C99A,Ericsson AB,Torshamnsgatan 36 Stockholm  SE SE-164 80 
000F4F,PCS Systemtechnik GmbH,66 Hillside Rd Auckland  NZ 1310 
7C5A1C,Sophos Ltd,The Pentagon Abingdon Oxfordshire GB OX14 3YP 
00E400,Sichuan Changhong Electric Ltd.,"No.35,East MianXin Road,MianYang,Sichaun,China. MianYang SiChuan CN PRC 621000 "
00117E,Midmark Corp,675 Heathrow Drive Lincolnshire IL US 60089 
703ACB,"Google, Inc.",1600 Amphitheatre Parkway Mountain View CA US 94043 
105AF7,ADB Italia ,Viale Sarca 222 Milan Italy IT 20126 
2C55D3,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
F44C7F,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
143004,"HUAWEI TECHNOLOGIES CO.,LTD","No.2 Xin Cheng Road, Room R6,Songshan Lake Technology Park Dongguan  CN 523808 "
D481D7,Dell Inc.,One Dell Way Round Rock TX US 78682 
7C4685,"Motorola (Wuhan) Mobility Technologies Communication Co., Ltd.","No.19, Gaoxin 4th Road, Wuhan East Lake High-tech Zone, Wuhan Wuhan Hubei CN 430000 "
E05163,Arcadyan Corporation,"No.8, Sec.2, Guangfu Rd. Hsinchu City Hsinchu TW 30071 "
00A06F,"Color Sentinel Systems, LLC","97 Ridgeland Rd, Suite #2 ROCHESTER NY US 14623 "
0C5F35,Niagara Video Corporation,"5627 Stoneridge Drive, Suite 316 Pleasanton CA US 94588 "
7C3866,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
50F14A,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
9C1D58,Texas Instruments,12500 TI Blvd Dallas TX US 75243 
B85001,Extreme Networks,ONE ZEBRA PLAZA HOLTSVILLE NY US 11742 
000496,Extreme Networks,3585 Monroe Street Santa Clara CA US 95051 
500FF5,"Tenda Technology Co.,Ltd.Dongguan branch","Room 79,Yuanyi Road,Dalang Town,Dongguan Guangdong 523770 Dongguan Guangdong CN 523770 "
1C1EE3,"Hui Zhou Gaoshengda Technology Co.,LTD","No.75,Zhongkai High-Tech Development District,Huizhou Hui Zhou Guangdong CN 516006 "
F0272D,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
74C246,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
08B258,Juniper Networks,1133 Innovation Way Sunnyvale CA US 94089 
F4C4D6,"Shenzhen Xinfa Electronic Co.,ltd","No 57, Baoli Road, Buji Town Longgang District Shenzhen, Guangdong  CN 518112 "
C03D46,"Shanghai Sango Network Technology Co.,Ltd",No 666 Zhangheng Road Pudong Shanghai CN 210203 
E89FEC,"CHENGDU KT ELECTRONIC HI-TECH CO.,LTD","No.9, 3rd Wuke Road, Wuhou District Chengdu Sichuan Province CN 610045 "
D47DFC,TECNO MOBILE LIMITED,"ROOMS 05-15, 13A/F., SOUTH TOWER, WORLD FINANCE CENTRE, HARBOUR CITY, 17 CANTON ROAD, TSIM SHA TSUI, KOWLOON, HONG KONG Hong Kong Hong Kong HK 999077 "
BCA042,"SHANGHAI FLYCO ELECTRICAL APPLIANCE CO.,LTD","No.555,Guang Fu Lin east Road,Songjiang District Shanghai Shanghai CN 201613 "
14568E,"Samsung Electronics Co.,Ltd","#94-1, Imsoo-Dong Gumi Gyeongbuk KR 730-350 "
6837E9,Amazon Technologies Inc.,P.O Box 8102 Reno NV US 89507 
8058F8,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
443708,MRV Comunications,Hayetzira Yokneam  IL 614 
F0D7AA,"Motorola Mobility LLC, a Lenovo Company",222 West Merchandise Mart Plaza Chicago IL US 60654 
28FF3E,zte corporation,"12/F.,zte R&D building ,kejinan Road,Shenzhen,P.R.China shenzhen guangdong CN 518057 "
70F087,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
886B6E,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
4C74BF,"Apple, Inc.",1 Infinite Loop Cupertino CA US 95014 
285767,Echostar Technologies Corp,94 Inverness Terrace E Englewood CO US 80112 
0024AF,Echostar Technologies Corp,94 Inverness Terrace E Englewood CO US 80112 
04C9D9,Echostar Technologies Corp,94 Inverness Terrace E Englewood CO US 80112 
C49DED,Microsoft Corporation,One Microsoft Way REDMOND WA US 98052 
98A40E,"Snap, Inc.",64 Market Street Venice CA US 90291 
D0498B,ZOOM SERVER,North keyuan Road Shenzhen  CN 518057 
AC7409,"Hangzhou H3C Technologies Co., Limited","466 Changhe Road, Binjiang District Hangzhou Zhejiang, P.R.China CN 310052 "
2C5A0F,"Cisco Systems, Inc",80 West Tasman Drive San Jose CA US 94568 
4C8120,Taicang T&W Electronics,89# Jiang Nan RD Suzhou Jiangsu CN 215412 
E8E732,Alcatel-Lucent Enterprise,26801 West Agoura Road Calabasas CA US 91301 
00118B,Alcatel-Lucent Enterprise,26801 West Agoura Road Calabasas CA US 91301 
